abhishek	B-Name
jha	I-Name
application	B-Designation
development	I-Designation
associate	I-Designation
accenture	B-Companies worked at
bengaluru	O
karnataka	O
email	O
me	O
on	O
indeed	B-Email Address
indeed.com/r/abhishek-jha/10e7a8cb732bc43a	I-Email Address
to	O
work	O
for	O
an	O
organization	O
which	O
provide	O
me	O
the	O
opportunity	O
to	O
improve	O
my	O
skill	O
and	O
knowledge	O
for	O
my	O
individual	O
and	O
company	O
growth	O
in	O
well	O
possible	O
way	O
willing	O
to	O
relocate	O
to	O
bangalore	O
karnataka	O
work	O
experience	O
application	B-Designation
development	I-Designation
associate	I-Designation
accenture	B-Companies worked at
november	O
2017	O
to	O
present	O
role	O
currently	O
work	O
on	O
chat	O
develop	O
backend	O
oracle	O
peoplesoft	O
query	O
for	O
the	O
bot	O
which	O
will	O
be	O
trigger	O
base	O
on	O
give	O
input	O
also	O
train	O
the	O
bot	O
for	O
different	O
possible	O
utterance	O
both	O
positive	O
and	O
negative	O
which	O
will	O
be	O
give	O
as	O
input	O
by	O
the	O
user	O
education	O
b.e	B-Designation
in	I-Designation
information	I-Designation
science	I-Designation
and	I-Designation
engineering	I-Designation
b.v.b	B-College Name
college	I-College Name
of	I-College Name
engineering	I-College Name
and	I-College Name
technology	I-College Name
hubli	O
karnataka	O
august	O
2013	O
to	O
june	O
2017	B-Graduation Year
12th	O
in	O
mathematics	O
woodbine	B-College Name
modern	I-College Name
school	I-College Name
april	O
2011	O
to	O
march	O
2013	O
10th	O
kendriya	B-College Name
vidyalaya	I-College Name
april	O
2001	O
to	O
march	O
2011	O
skill	O
c	B-Skills
less	I-Skills
than	I-Skills
1	I-Skills
year	I-Skills
database	I-Skills
less	I-Skills
than	I-Skills
1	I-Skills
year	I-Skills
database	I-Skills
management	I-Skills
less	I-Skills
than	I-Skills
1	I-Skills
year	I-Skills
database	I-Skills
management	I-Skills
system	I-Skills
less	I-Skills
than	I-Skills
1	I-Skills
year	I-Skills
java	I-Skills
less	I-Skills
than	I-Skills
1	I-Skills
year	I-Skills
additional	O
information	O
technical	O
skill	O
https://www.indeed.com/r/abhishek-jha/10e7a8cb732bc43a?isid=rex-download&ikw=download-top&co=in	O
programming	I-Skills
language	I-Skills
c	I-Skills
c++	I-Skills
java	I-Skills
oracle	I-Skills
peoplesoft	I-Skills
internet	I-Skills
of	I-Skills
thing	I-Skills
machine	I-Skills
learn	I-Skills
database	I-Skills
management	I-Skills
system	I-Skills
computer	I-Skills
network	I-Skills
operate	I-Skills
system	I-Skills
work	I-Skills
on	I-Skills
linux	I-Skills
window	I-Skills
mac	I-Skills
non	I-Skills
technical	I-Skills
skill	I-Skills
honest	I-Skills
and	I-Skills
hard	I-Skills
tolerant	I-Skills
and	I-Skills
flexible	I-Skills
to	I-Skills
different	I-Skills
situation	I-Skills
polite	I-Skills
and	I-Skills
calm	I-Skills
